Date,Open,High,Low,Close,Adj Close,Volume
2018-12-24,313.500000,314.500000,295.200012,295.390015,295.390015,5559900
2018-12-26,300.000000,326.970001,294.089996,326.089996,326.089996,8163100
2018-12-27,319.839996,322.170013,301.500000,316.130005,316.130005,8575100
2018-12-28,323.100006,336.239990,318.410004,333.869995,333.869995,9939000
2018-12-31,337.790009,339.209991,325.260010,332.799988,332.799988,6302300
2019-01-02,306.100006,315.130005,298.799988,310.119995,310.119995,11658600
2019-01-03,307.000000,309.399994,297.380005,300.359985,300.359985,6965200
2019-01-04,306.000000,318.000000,302.730011,317.690002,317.690002,7394100
2019-01-07,321.720001,336.739990,317.750000,334.959991,334.959991,7551200
2019-01-08,341.959991,344.010010,327.019989,335.350006,335.350006,7008500
2019-01-09,335.500000,343.500000,331.470001,338.529999,338.529999,5432900
2019-01-10,334.399994,345.390015,331.790009,344.970001,344.970001,6056400
2019-01-11,342.089996,348.410004,338.769989,347.260010,347.260010,5039100
2019-01-14,342.380005,342.500000,334.000000,334.399994,334.399994,5247300
2019-01-15,335.000000,348.799988,334.500000,344.429993,344.429993,6056600
2019-01-16,344.779999,352.000000,343.500000,346.049988,346.049988,4691700
2019-01-17,346.209991,351.500000,344.149994,347.309998,347.309998,3676700
2019-01-18,323.000000,327.130005,299.730011,302.260010,302.260010,24150800
2019-01-22,304.820007,308.000000,295.500000,298.920013,298.920013,12066700
2019-01-23,292.500000,294.500000,281.690002,287.589996,287.589996,12530000
2019-01-24,283.029999,293.679993,279.279999,291.510010,291.510010,8012200
2019-01-25,294.390015,298.519989,289.549988,297.040009,297.040009,7249600
2019-01-28,292.910004,297.459991,287.750000,296.380005,296.380005,6423300
2019-01-29,295.269989,298.559998,291.799988,297.459991,297.459991,4621700
2019-01-30,300.450012,309.000000,298.489990,308.769989,308.769989,11250300
2019-01-31,301.000000,311.559998,294.000000,307.019989,307.019989,12569200
2019-02-01,305.420013,316.100006,303.500000,312.209991,312.209991,7283400
